ID,supVar,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Age,Gender,Village...town,Education
255,A,5,3,5,3,2,2,5,5,3,1,1,4,2,1,5,2,5,3,2,23,female,village,secondary school
256,A,5,3,2,5,4,5,5,3,5,4,3,3,3,4,4,4,5,1,4,20,female,city,secondary school
257,A,5,3,3,4,2,1,2,5,2,1,1,3,2,1,2,1,5,1,1,20,female,city,secondary school
258,A,5,3,5,3,2,3,3,4,4,3,1,4,2,3,3,3,2,5,2,19,male,city,secondary school
259,A,5,4,1,2,1,5,1,1,5,5,2,1,1,4,3,5,2,1,1,20,female,city,secondary school
260,A,2,3,3,3,3,2,2,3,4,2,2,2,1,3,5,2,5,1,5,19,male,village,secondary school
261,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,male,city,secondary school
262,A,5,3,4,2,3,2,2,5,2,1,2,2,1,1,1,1,3,1,1,18,female,city,secondary school
263,A,5,4,3,4,2,5,4,2,5,2,1,3,3,5,3,5,2,3,4,19,female,city,secondary school
264,A,5,5,5,2,2,2,4,5,4,2,2,4,3,2,4,3,5,3,2,15,female,city,secondary school
265,A,3,3,3,3,1,3,3,5,4,3,3,5,4,3,3,3,3,3,3,19,female,village,college/bachelor degree
266,A,5,3,3,2,1,2,3,5,2,1,1,4,3,3,2,1,1,1,1,15,female,city,secondary school
267,A,5,3,3,3,2,3,3,4,4,1,1,2,2,4,3,1,4,1,2,19,female,city,secondary school
268,A,5,3,4,3,4,4,3,2,4,4,4,3,2,2,3,2,3,2,3,21,female,city,masters degree
269,A,5,3,3,2,1,2,2,5,2,1,1,2,3,3,3,2,5,1,2,19,female,city,college/bachelor degree
270,A,5,3,3,1,2,4,4,3,5,3,4,1,1,1,3,2,4,2,4,17,female,village,secondary school
271,A,5,3,3,2,1,1,3,4,5,4,5,5,5,5,5,5,3,2,1,23,female,city,college/bachelor degree
272,A,5,3,4,3,1,1,1,4,5,5,5,5,5,4,5,4,2,1,1,24,male,village,secondary school
273,A,5,3,2,4,3,5,3,2,5,5,5,2,5,4,3,5,2,1,5,19,female,city,secondary school
274,A,5,3,4,2,2,4,4,4,4,2,4,4,4,5,4,4,4,4,3,19,female,city,college/bachelor degree
275,A,5,4,5,3,3,2,2,4,3,1,1,4,3,2,4,1,3,2,1,22,female,city,secondary school
276,A,5,3,3,3,4,4,5,3,4,4,3,2,2,4,3,3,5,4,3,20,female,city,college/bachelor degree
277,A,5,4,5,3,5,2,2,5,5,4,3,1,1,1,4,3,3,1,1,21,female,village,college/bachelor degree
278,A,5,3,2,1,3,3,1,4,5,3,1,2,2,3,5,1,2,2,2,19,male,city,secondary school
279,A,5,4,3,5,2,4,3,3,4,2,3,5,5,2,3,5,4,3,3,19,male,village,secondary school
280,A,5,3,4,2,2,2,1,4,3,1,3,3,3,1,1,1,2,2,1,20,female,city,college/bachelor degree
281,A,5,3,4,2,1,3,4,2,5,5,3,2,3,2,2,4,5,5,2,18,female,city,secondary school
282,A,5,3,4,2,3,4,1,2,4,4,5,4,4,5,5,2,5,3,2,19,male,city,secondary school
283,A,5,3,1,1,2,1,2,3,2,1,1,1,2,1,2,2,3,1,1,20,female,city,secondary school
284,A,5,3,4,2,3,3,2,4,4,2,4,4,NA,5,3,2,3,3,2,22,male,city,secondary school
285,A,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,male,city,secondary school
286,A,5,4,3,1,1,3,3,5,5,1,1,3,1,2,1,1,1,1,4,20,female,city,secondary school
287,A,5,3,3,2,2,4,3,4,4,1,3,5,5,3,3,4,4,1,1,27,female,city,masters degree
288,A,5,3,3,1,1,3,2,4,4,2,4,4,1,3,3,4,2,3,3,19,female,city,secondary school
289,A,5,3,5,3,NA,3,1,2,3,2,1,4,4,2,3,1,4,5,1,22,male,city,secondary school
290,A,5,3,4,2,2,3,4,4,4,2,2,4,1,2,4,1,NA,2,3,19,male,city,college/bachelor degree
291,A,4,3,4,1,1,2,4,4,4,1,1,4,3,4,4,3,4,1,1,20,female,city,secondary school
292,A,4,3,3,3,3,3,3,3,5,4,4,3,4,3,4,3,3,2,3,20,male,village,secondary school
293,A,5,4,5,2,3,2,5,5,4,1,3,3,3,3,3,3,5,2,1,21,female,city,secondary school
294,A,5,1,2,2,2,4,4,1,5,4,5,1,4,3,3,5,2,1,2,16,female,village,primary school
295,A,5,3,2,2,1,4,2,3,4,1,4,NA,4,4,3,4,4,1,2,19,female,city,secondary school
296,A,5,3,3,2,5,3,3,4,5,3,2,2,4,3,5,5,3,1,4,18,female,village,secondary school
297,A,5,4,5,1,1,1,1,5,3,2,2,2,4,1,3,3,1,5,1,23,male,city,college/bachelor degree
298,A,5,3,2,1,2,3,2,2,3,2,3,1,3,3,2,4,2,4,2,19,male,village,secondary school
299,A,5,3,5,2,3,2,2,4,3,1,1,5,4,4,5,1,5,2,1,19,female,city,secondary school
300,A,5,3,4,1,1,3,4,2,4,1,3,5,5,3,2,2,3,1,2,22,female,city,college/bachelor degree
301,A,5,2,1,5,2,5,2,2,4,5,3,1,1,3,3,5,1,1,5,18,female,city,secondary school
302,A,4,2,1,2,1,5,2,1,5,5,1,1,1,2,1,2,1,1,4,20,male,city,college/bachelor degree
303,A,5,4,5,4,1,2,5,5,5,2,2,5,3,1,4,1,5,1,2,19,female,village,secondary school
304,A,4,5,2,2,4,2,5,4,5,4,2,4,2,2,3,1,5,1,1,25,female,city,masters degree
305,A,5,3,2,2,1,4,4,4,4,2,1,2,3,2,2,1,2,1,3,18,female,city,secondary school
306,A,5,3,3,2,1,2,2,2,5,2,3,2,2,3,4,5,1,1,2,20,female,city,college/bachelor degree
307,A,5,5,5,3,3,3,3,3,4,2,4,4,5,5,5,5,5,4,1,15,female,city,primary school
308,A,5,3,1,4,3,2,5,2,5,4,3,1,1,5,5,3,3,1,1,19,female,city,secondary school
309,A,5,5,5,2,3,3,2,4,3,1,NA,3,1,1,1,2,3,4,1,19,female,city,secondary school
310,A,5,3,4,2,1,3,3,3,4,1,1,4,1,1,4,2,2,2,1,16,female,village,secondary school
311,A,5,5,4,1,1,3,2,4,4,2,1,1,2,1,1,1,3,5,3,19,male,city,college/bachelor degree
312,A,5,4,5,5,2,5,5,5,5,2,2,5,5,5,3,3,5,2,5,18,female,city,college/bachelor degree
313,A,2,4,2,1,1,2,2,3,4,3,2,3,3,3,3,2,1,2,1,15,male,city,primary school
314,A,5,4,3,2,2,4,3,4,2,1,1,4,1,3,4,2,4,2,2,20,female,city,secondary school
315,A,5,4,5,4,5,4,5,5,5,5,5,2,5,5,5,5,5,5,4,20,male,village,secondary school
316,A,5,3,1,1,1,3,3,5,2,1,1,2,1,1,1,2,2,1,2,20,male,city,secondary school
317,A,5,3,4,1,1,1,3,3,3,1,2,3,2,1,1,2,2,4,2,20,female,city,secondary school
318,A,5,3,5,2,2,2,1,3,5,1,2,2,1,2,3,3,4,4,1,19,male,city,secondary school
319,A,5,3,2,3,4,3,3,3,1,1,3,3,2,4,4,3,3,2,1,16,female,city,currently a primary school pupil
320,A,5,3,4,3,2,4,5,5,4,1,2,3,3,4,3,4,4,3,2,18,female,city,secondary school
321,A,5,4,3,2,2,2,2,3,5,4,3,2,3,2,2,5,2,4,1,20,male,village,secondary school
322,A,5,3,3,2,4,3,4,4,5,2,2,5,2,3,5,3,4,3,1,16,female,city,college/bachelor degree
323,A,5,3,2,2,1,4,3,2,5,5,5,1,3,3,5,5,3,1,2,18,female,city,primary school
324,A,5,2,2,1,4,5,4,5,4,1,3,1,1,1,3,1,3,1,5,20,male,village,secondary school
325,A,5,3,4,2,2,2,2,5,3,2,3,2,3,3,3,3,3,2,2,18,female,city,primary school
326,A,5,3,4,4,3,3,3,4,4,4,4,5,5,2,4,3,3,4,2,19,male,village,secondary school
327,A,5,4,3,2,2,3,2,5,4,2,2,2,3,3,3,3,3,3,1,19,female,city,college/bachelor degree
328,A,5,3,3,2,1,4,4,5,3,1,1,5,4,3,4,2,3,1,2,20,female,city,secondary school
329,A,5,5,3,3,4,2,1,2,5,4,5,2,4,3,2,5,3,1,1,18,male,city,college/bachelor degree
330,A,5,3,4,2,3,3,2,4,4,1,2,4,2,2,3,2,2,3,1,17,female,city,primary school
331,A,5,3,4,2,1,4,3,3,5,3,3,3,2,3,3,4,NA,3,2,22,female,city,secondary school
332,A,5,5,3,2,3,3,3,2,5,2,2,5,1,5,5,1,2,4,1,17,male,village,secondary school
333,A,4,3,3,2,3,3,5,3,2,1,1,2,3,1,1,1,5,1,1,22,female,village,secondary school
334,A,5,2,3,2,3,3,4,5,4,2,2,3,2,3,3,2,3,2,2,16,female,city,secondary school
335,A,5,2,2,3,3,2,3,2,3,2,2,2,2,4,1,4,4,1,1,24,female,city,masters degree
336,A,5,5,4,3,2,3,3,4,4,2,2,4,4,4,3,2,2,4,2,17,male,city,primary school
337,A,5,4,3,1,2,3,2,5,3,1,2,3,3,3,2,3,1,4,2,17,male,city,secondary school
338,A,5,3,5,1,2,3,2,3,3,1,1,5,2,2,1,2,1,5,3,17,male,city,secondary school
339,A,5,3,NA,NA,NA,4,3,3,5,2,2,2,1,1,2,1,1,2,2,15,female,city,secondary school
340,A,5,3,2,2,1,5,3,2,5,5,5,1,3,3,5,5,2,1,3,18,female,city,primary school
341,A,5,1,1,3,2,5,3,2,3,1,2,3,3,2,2,4,2,1,3,18,female,village,primary school
342,A,5,4,1,1,1,1,1,2,2,2,2,5,1,1,1,1,1,5,1,16,male,village,primary school
343,A,5,3,3,2,2,2,4,3,3,1,2,4,4,3,3,3,4,3,2,20,female,city,secondary school
344,A,5,4,3,5,2,2,5,5,4,2,2,1,2,2,5,2,5,1,2,29,female,city,masters degree
345,A,5,3,2,4,4,1,2,5,3,1,1,2,1,1,4,3,3,1,1,24,female,village,college/bachelor degree
346,A,4,3,4,2,1,1,2,4,4,3,4,2,3,2,2,2,2,3,1,18,female,city,secondary school
347,A,5,4,1,1,1,1,1,3,3,1,1,5,5,1,3,1,2,4,1,17,male,city,primary school
348,A,5,4,3,2,2,2,2,4,4,4,4,2,2,NA,2,1,1,2,1,18,male,city,primary school
349,A,5,4,3,5,2,5,5,4,2,1,1,1,2,5,5,3,3,2,5,16,male,city,secondary school
350,A,5,4,5,2,1,2,3,5,2,1,1,3,2,3,3,1,2,4,1,17,female,city,primary school
351,A,2,3,4,2,2,1,1,4,4,3,3,2,3,1,1,3,1,2,1,20,male,city,college/bachelor degree
352,A,5,3,3,2,4,5,3,5,5,2,4,1,4,4,4,5,3,1,3,16,female,village,primary school
353,A,5,5,2,1,3,2,1,2,5,5,1,1,1,1,5,1,2,1,2,19,male,city,secondary school
354,A,5,3,3,1,2,3,2,4,2,1,1,4,2,2,3,5,2,1,3,18,female,city,secondary school
355,A,5,3,3,3,2,4,4,4,4,2,3,3,2,2,2,3,2,3,4,20,female,city,secondary school
356,A,5,4,2,1,3,1,2,4,3,1,1,5,2,1,2,1,3,2,1,19,male,city,secondary school
357,A,4,4,3,3,4,4,4,5,5,3,2,4,4,3,4,2,3,2,3,18,male,city,secondary school
358,A,5,4,3,1,1,2,2,2,4,4,3,5,2,2,1,1,4,3,2,21,male,city,secondary school
359,A,4,3,5,3,3,2,1,3,5,2,1,3,3,3,4,1,2,2,3,19,male,city,college/bachelor degree
360,A,5,3,4,2,4,3,2,5,2,1,2,4,4,2,3,1,3,2,3,20,female,city,secondary school
361,A,5,3,4,1,2,1,3,5,5,1,1,5,5,3,4,3,3,1,2,23,female,city,college/bachelor degree
362,A,5,1,3,5,5,5,2,2,5,4,2,3,4,5,1,1,1,1,1,19,female,village,college/bachelor degree
363,A,5,3,2,3,2,4,5,3,5,4,5,2,4,NA,4,3,4,2,4,19,female,city,college/bachelor degree
364,A,5,3,1,3,2,4,5,3,5,3,5,2,4,1,4,4,4,1,5,19,female,city,college/bachelor degree
365,A,2,4,4,2,3,3,2,4,5,4,3,3,3,2,4,3,1,2,1,20,male,city,college/bachelor degree
366,A,5,3,2,2,3,4,2,1,5,4,5,1,5,4,5,5,1,2,4,24,male,village,college/bachelor degree
367,A,5,2,2,1,2,2,2,4,4,2,2,3,3,1,1,1,1,3,1,19,male,city,college/bachelor degree
368,A,5,3,3,1,3,4,1,5,5,4,4,1,2,5,5,5,1,3,1,20,male,village,secondary school
369,A,5,4,5,2,2,3,3,5,3,1,1,3,4,3,3,1,5,NA,3,18,female,NA,primary school
370,A,5,3,5,3,2,1,1,NA,2,4,2,3,2,1,2,3,1,5,1,17,male,village,primary school
371,A,5,4,3,3,2,4,3,5,5,3,3,4,3,3,3,2,4,1,2,19,female,village,secondary school
372,A,5,3,5,5,5,5,5,5,5,3,3,2,2,5,5,3,5,2,5,19,female,village,secondary school
373,A,4,4,2,2,2,2,2,2,4,2,5,1,4,2,3,4,2,4,2,20,male,city,secondary school
374,A,5,4,2,1,1,1,1,5,3,1,1,2,1,1,1,1,1,1,1,20,male,city,college/bachelor degree
375,A,5,3,5,2,2,1,2,5,3,1,1,3,3,2,2,1,2,3,1,21,female,city,secondary school
376,A,5,3,4,2,1,1,3,5,4,2,2,5,2,2,1,1,3,NA,1,20,female,city,secondary school
377,A,5,5,NA,1,1,1,1,4,1,1,1,5,1,1,1,1,2,1,1,20,female,city,secondary school
378,A,5,3,2,3,3,4,2,3,5,4,3,1,3,4,4,5,3,1,1,17,female,village,secondary school
379,A,5,5,5,NA,2,2,4,5,4,1,1,4,5,1,2,2,3,3,1,20,female,city,secondary school
380,A,5,3,5,4,3,4,5,4,4,2,2,3,3,4,3,2,4,2,4,25,male,city,masters degree
381,A,5,4,4,3,2,2,3,4,4,1,1,4,2,2,4,2,5,5,1,20,female,city,secondary school
382,A,5,4,2,2,3,4,3,2,5,3,3,1,1,3,3,3,2,1,4,21,female,city,secondary school
383,A,5,3,4,3,4,2,2,5,1,1,1,4,2,1,2,2,5,4,1,21,female,village,secondary school
384,A,5,3,2,2,2,3,4,3,5,3,4,3,3,3,3,5,1,2,3,22,male,city,college/bachelor degree
385,A,5,4,3,1,1,2,3,3,5,5,3,4,4,4,4,5,2,1,1,19,female,city,secondary school
386,A,5,3,5,4,4,5,4,4,5,3,3,4,5,5,5,4,5,3,3,25,male,city,college/bachelor degree
387,A,5,3,3,2,1,2,3,4,5,3,3,5,4,2,3,3,2,4,1,19,female,city,secondary school
388,A,5,3,5,2,2,2,4,5,2,1,1,5,5,3,3,2,5,2,1,25,female,city,masters degree
389,A,5,3,3,4,2,4,4,5,4,1,3,4,5,5,4,3,5,3,3,25,female,city,masters degree
390,A,5,4,3,2,2,3,3,3,2,1,1,2,2,4,3,2,5,1,2,21,female,city,secondary school
391,A,4,3,1,1,2,3,2,2,2,1,2,2,2,3,3,4,3,3,3,20,male,city,secondary school
392,A,4,4,3,3,3,3,3,3,3,2,1,3,3,3,3,2,2,1,2,24,female,city,masters degree
393,A,5,4,4,3,1,3,2,4,3,1,1,5,3,1,2,2,5,2,1,30,female,city,masters degree
394,A,5,4,1,1,3,1,1,1,3,5,3,2,1,1,2,2,1,1,1,21,male,city,secondary school
395,A,5,3,3,1,1,2,1,3,4,2,1,1,2,2,3,2,2,1,1,27,male,city,masters degree
396,A,5,4,3,1,3,1,2,3,4,5,3,3,2,2,4,5,1,5,1,21,male,city,college/bachelor degree
397,A,5,3,3,4,2,5,4,3,3,1,1,2,3,4,3,1,2,2,5,16,female,city,primary school
398,A,5,3,3,5,2,2,3,4,1,1,1,4,2,1,2,1,4,1,1,21,female,village,college/bachelor degree
399,A,5,4,3,3,2,2,2,2,3,3,3,5,5,3,4,3,4,5,2,20,female,village,college/bachelor degree
400,A,5,4,2,4,1,5,5,4,4,3,4,2,4,3,3,4,2,1,5,22,female,city,secondary school
401,A,5,3,4,1,2,3,1,4,2,1,1,3,3,2,2,2,1,4,3,19,male,village,secondary school
402,A,5,3,2,1,3,1,3,2,5,4,1,1,1,1,2,2,3,1,2,20,female,village,secondary school
403,A,5,3,5,5,1,5,2,4,5,4,1,1,1,1,1,NA,1,3,3,25,male,city,masters degree
404,A,2,3,2,3,3,3,4,3,4,2,2,2,4,2,4,3,3,1,3,23,male,village,secondary school
405,A,5,3,4,5,5,5,2,4,5,1,5,3,2,2,5,5,1,5,3,20,female,village,college/bachelor degree
406,A,4,3,3,3,3,3,3,3,2,1,2,4,2,4,3,3,3,2,3,20,female,city,secondary school
407,A,5,3,4,5,1,4,5,5,4,1,1,3,3,4,4,1,5,4,4,21,female,village,secondary school
408,A,5,3,4,2,3,3,3,3,3,1,3,3,3,5,3,2,2,2,2,19,female,city,secondary school
409,A,5,5,3,4,3,5,5,3,1,1,1,1,1,4,5,3,5,1,5,21,female,city,college/bachelor degree
410,A,5,4,5,1,5,1,5,4,4,1,3,4,2,3,4,3,2,4,1,16,female,city,currently a primary school pupil
411,A,5,5,4,2,1,3,1,4,5,1,5,4,1,1,5,3,1,1,1,20,male,village,secondary school
412,A,5,3,3,2,2,3,4,5,5,1,1,4,2,4,3,1,5,2,2,18,female,city,secondary school
413,A,5,5,3,1,1,1,1,3,5,5,1,1,1,1,1,1,1,5,1,21,female,city,secondary school
414,A,5,3,4,3,1,2,2,4,4,4,4,2,2,2,4,2,2,3,2,21,male,village,secondary school
415,A,5,3,4,3,2,5,3,5,3,2,1,3,2,3,4,4,2,2,2,18,male,city,college/bachelor degree
416,A,5,3,3,1,1,1,1,5,5,1,2,4,2,1,5,3,3,3,1,19,female,village,secondary school
417,A,4,2,5,1,1,4,2,4,3,2,2,3,2,2,2,1,3,4,1,20,female,village,secondary school
418,A,5,5,1,2,1,2,2,1,2,4,5,1,5,1,4,4,1,1,2,18,male,village,secondary school
419,A,5,1,4,4,2,2,3,5,1,1,1,1,2,1,2,2,4,1,2,18,female,village,primary school
420,A,5,3,5,2,5,5,5,5,5,1,1,3,3,4,5,5,3,3,5,23,female,village,secondary school
421,A,5,4,1,1,1,3,1,2,5,3,5,1,3,2,1,1,1,1,3,20,female,village,secondary school
422,A,5,2,2,3,2,5,5,5,4,1,1,2,2,5,3,2,3,2,3,18,female,village,secondary school
423,A,5,5,4,1,1,1,4,5,1,1,1,4,2,1,1,1,5,5,3,28,female,city,college/bachelor degree
424,A,5,2,3,2,1,3,3,5,4,3,3,1,3,3,3,3,3,2,3,24,female,village,masters degree
425,A,5,5,5,3,3,2,2,3,NA,1,1,5,NA,4,1,1,2,5,1,19,female,city,secondary school
426,A,5,3,3,1,1,2,3,4,5,3,5,3,4,3,4,5,1,2,3,21,female,village,secondary school
427,A,5,2,1,1,1,1,1,2,5,4,1,1,3,4,4,4,2,1,1,22,female,city,masters degree
428,A,5,3,3,3,1,5,1,2,3,1,2,2,3,5,3,5,3,2,4,19,male,city,secondary school
429,A,5,3,5,3,2,4,5,5,3,2,4,3,2,2,2,1,2,3,3,18,female,city,primary school
430,A,5,4,2,1,2,3,2,2,5,4,4,2,1,2,3,NA,1,1,2,21,female,city,secondary school
431,A,5,5,3,3,3,4,2,4,4,2,2,2,4,3,3,3,4,3,2,19,female,village,masters degree
432,A,4,3,4,1,3,2,3,2,2,1,1,3,3,3,2,2,4,5,4,19,male,village,secondary school
433,A,5,3,2,2,2,3,1,1,5,4,3,3,3,3,4,5,3,1,1,20,male,city,secondary school
434,A,5,3,4,4,4,2,4,5,4,3,4,2,2,2,3,5,3,2,2,19,female,city,secondary school
435,A,5,4,4,1,2,2,3,5,3,1,1,4,3,3,2,1,5,4,1,18,male,city,secondary school
436,A,5,3,1,1,1,1,2,3,5,5,3,2,1,1,5,3,1,1,1,18,female,city,secondary school
437,A,4,3,2,2,2,2,1,4,4,2,2,2,3,2,3,2,4,3,2,19,male,city,secondary school
438,A,5,3,2,1,1,1,2,3,3,1,2,3,1,1,3,1,1,4,1,18,female,city,secondary school
439,A,5,3,1,1,1,2,3,4,5,4,4,4,3,1,2,1,2,1,2,18,female,village,secondary school
440,A,5,5,5,2,2,1,1,4,2,1,1,4,2,2,3,3,2,4,1,19,male,city,secondary school
441,A,5,3,4,1,2,4,3,4,4,1,1,3,3,3,4,3,3,4,1,19,female,city,secondary school
442,A,5,1,3,2,1,2,2,5,NA,1,3,1,1,1,1,1,5,1,1,19,female,city,college/bachelor degree
443,A,5,3,4,2,4,3,3,5,4,1,4,3,4,4,4,2,2,2,1,18,female,city,secondary school
444,A,4,3,2,2,2,4,3,3,3,1,2,3,3,3,3,2,3,3,3,18,female,village,secondary school
445,A,5,4,3,2,4,2,2,2,3,4,4,2,5,4,5,5,2,4,2,19,female,city,secondary school
446,A,5,3,4,2,2,2,3,5,3,1,1,4,2,3,2,2,5,1,1,20,female,city,secondary school
447,A,4,3,4,1,2,2,1,3,3,1,1,4,2,1,2,1,1,4,1,19,male,city,secondary school
448,A,3,2,1,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,2,26,female,village,masters degree
449,A,5,3,4,2,2,2,2,4,4,1,1,4,1,2,4,3,2,3,2,19,female,village,secondary school
450,A,5,3,3,3,1,2,5,3,4,2,2,2,3,3,5,2,5,1,1,19,female,village,secondary school
451,A,5,4,4,3,1,5,3,5,3,1,1,2,2,1,1,1,3,1,4,22,male,village,college/bachelor degree
452,A,5,3,3,2,2,3,1,4,4,1,1,3,2,3,2,2,3,3,1,20,male,village,college/bachelor degree
453,A,5,3,4,1,1,1,1,5,3,3,3,3,3,2,4,3,1,3,1,28,female,city,masters degree
454,A,5,4,2,2,1,1,5,3,4,2,2,2,3,3,5,2,5,1,1,19,female,village,secondary school
455,A,4,4,2,1,1,2,3,4,5,3,4,3,5,4,4,4,2,1,1,21,female,city,secondary school
456,A,5,3,4,2,1,2,3,5,5,2,5,3,3,2,3,2,2,4,2,19,female,village,secondary school
457,A,5,5,3,1,1,1,1,3,2,1,4,5,5,1,2,3,1,1,1,22,male,city,secondary school
458,A,5,4,4,2,1,2,1,4,5,2,3,2,2,2,3,3,2,4,1,19,male,city,secondary school
459,A,5,NA,5,5,5,5,5,5,1,1,1,5,1,1,5,5,5,5,5,18,female,village,secondary school
460,A,4,2,2,2,3,3,3,2,3,2,3,1,4,3,3,5,2,3,3,19,female,city,secondary school
461,A,5,4,3,1,1,1,1,2,4,2,4,5,5,1,1,3,1,1,1,22,male,city,secondary school
462,A,5,3,2,4,3,3,3,3,3,1,1,1,3,3,3,3,4,2,4,29,male,village,masters degree
463,A,4,3,3,1,2,3,1,3,5,1,4,3,3,3,3,4,2,3,1,NA,female,village,college/bachelor degree
464,A,5,3,3,1,1,3,3,5,3,1,1,3,3,1,1,5,5,1,1,18,female,city,secondary school
465,A,5,4,4,3,3,3,2,3,4,1,4,2,3,2,4,2,5,3,2,22,female,city,secondary school
466,A,5,3,3,2,2,3,4,3,1,1,2,2,4,4,2,3,5,2,2,17,female,city,secondary school
467,A,5,3,3,1,3,3,3,4,3,1,1,4,1,3,3,1,3,5,1,19,male,city,college/bachelor degree
468,A,4,2,4,3,2,3,2,3,2,2,1,4,2,1,2,2,2,2,1,20,female,village,secondary school
469,A,5,3,3,2,4,4,2,4,5,2,2,5,4,4,5,2,2,2,2,18,female,village,secondary school
470,A,5,5,5,1,1,1,1,4,3,1,3,4,4,2,5,4,1,4,1,22,male,city,secondary school
471,A,4,3,4,3,1,2,3,5,2,1,1,3,3,2,3,1,3,1,3,19,female,village,secondary school
472,A,5,3,4,2,2,2,2,3,5,4,5,2,5,3,4,5,2,2,1,20,male,city,secondary school
473,A,3,3,2,2,4,3,2,4,3,1,2,1,1,1,2,1,1,1,2,25,male,village,masters degree
474,A,5,2,1,1,1,1,1,2,4,4,3,1,1,1,1,4,1,1,1,29,male,village,masters degree
475,A,5,3,5,1,1,3,1,5,3,1,1,5,2,1,1,3,1,5,1,19,male,village,secondary school
476,A,5,3,3,2,5,4,5,3,5,4,4,3,4,3,5,3,4,1,2,18,female,city,secondary school
477,A,5,3,2,1,1,4,3,4,5,4,3,3,3,5,5,5,5,1,2,20,female,city,secondary school
478,A,5,3,2,1,1,2,4,2,5,3,3,1,2,3,5,5,2,1,1,18,female,city,secondary school
479,A,5,4,5,2,3,2,3,4,4,2,2,2,2,2,4,4,2,3,2,30,male,city,masters degree
480,A,5,3,3,2,2,3,3,3,4,3,4,3,3,4,4,NA,4,2,2,20,female,city,secondary school
481,A,5,4,5,3,5,3,4,5,4,2,3,4,3,4,5,4,5,4,4,21,female,city,secondary school
482,A,5,4,4,4,1,5,1,1,2,4,1,1,1,4,4,4,1,5,4,22,male,city,college/bachelor degree
483,A,3,4,2,1,3,1,1,3,4,2,4,4,4,3,1,1,1,1,1,22,male,city,secondary school
484,A,5,4,3,2,1,5,3,4,5,3,5,3,2,4,3,1,5,1,1,20,female,city,college/bachelor degree
485,A,5,3,3,1,2,2,2,4,4,3,3,3,3,NA,2,2,2,2,2,20,female,city,secondary school
486,A,5,3,4,2,1,2,1,4,5,1,1,1,3,5,4,4,4,1,1,19,female,city,secondary school
487,A,3,3,4,2,2,2,1,4,2,1,1,3,2,3,3,3,3,2,1,28,female,city,masters degree
488,A,5,5,5,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,19,female,village,secondary school
489,A,5,3,2,4,3,5,4,3,5,3,2,3,3,5,5,4,3,1,4,22,male,city,secondary school
490,A,5,5,2,2,2,1,1,2,5,1,5,3,5,2,5,5,1,1,1,20,female,village,college/bachelor degree
491,A,4,3,3,2,2,2,3,3,2,1,1,5,1,1,2,1,5,4,2,16,female,city,primary school
492,A,5,3,3,2,2,2,2,4,4,2,3,3,2,2,3,1,5,1,2,19,female,city,secondary school
493,A,5,5,3,3,1,4,4,2,5,2,2,1,2,3,4,5,3,2,2,20,female,city,secondary school
494,A,5,3,4,1,2,2,1,5,3,1,1,5,2,2,3,3,4,2,1,21,male,city,college/bachelor degree
495,A,5,3,2,2,1,2,4,2,5,2,2,1,4,5,4,5,2,1,2,19,female,city,secondary school
496,A,5,3,2,1,2,2,2,3,5,2,4,2,2,1,5,5,2,2,1,20,female,city,secondary school
497,A,3,2,3,2,4,5,4,3,3,1,1,2,2,2,4,3,4,2,4,25,female,city,college/bachelor degree
498,A,5,4,3,3,3,4,4,5,5,2,3,1,3,5,5,1,4,1,5,20,female,city,secondary school
499,A,5,3,3,2,1,3,2,2,4,1,1,1,3,2,3,5,3,1,1,19,female,village,secondary school
500,A,5,4,2,4,2,3,2,4,4,2,4,1,3,1,3,3,1,3,2,22,male,city,secondary school
501,A,5,3,3,5,2,4,2,2,4,2,1,1,2,2,4,5,4,4,4,19,female,city,secondary school
502,A,5,3,4,5,3,4,2,4,4,2,2,2,2,4,4,2,5,2,2,21,female,city,secondary school
503,A,5,4,4,3,2,4,2,2,5,3,4,3,3,4,5,3,1,3,3,22,male,village,masters degree
504,A,5,3,2,2,1,5,5,4,4,1,1,1,1,1,2,1,4,5,4,28,female,city,masters degree
505,A,5,3,5,1,1,2,2,5,1,1,1,5,2,1,2,2,2,1,1,21,female,village,college/bachelor degree
506,A,5,4,3,4,2,2,2,3,5,3,4,3,3,2,4,4,2,1,1,20,male,village,secondary school
507,A,5,4,2,1,1,1,1,2,2,3,3,5,1,1,1,2,1,2,1,19,male,city,secondary school
508,A,5,4,3,4,3,3,4,2,2,1,1,2,5,4,4,4,4,1,2,21,female,village,college/bachelor degree
509,A,5,3,1,3,5,4,1,3,5,2,NA,1,3,3,5,5,1,1,1,20,male,village,secondary school
510,A,4,5,4,5,2,3,4,4,1,1,1,4,3,3,1,NA,3,4,1,16,female,village,secondary school
511,A,5,3,5,3,3,4,4,4,4,3,2,4,4,4,3,3,3,2,4,22,male,village,college/bachelor degree
